项目,2010年第一季度,2010年上半年,2010年前三季度,2010年
一、税收收入合计,20865509,42682051,62497324,80034253
国内增值税,4139035,7914013,11909866,15749951
国内消费税,1392643,2562904,3740697,4995848
海关代征进口环节增值税和消费税,5387049,10930014,16641174,20829233
营业税,2859584,5118150,7325223,9339266
内资企业所得税,2038380,5132809,7117647,8719931
涉外企业所得税,1376270,4039031,5804467,6953142
个人所得税,1997661,3560314,5065393,6530071
城镇土地使用税,52394,159416,179876,272758
投资方向调节税,31,31,31,31
城市维护建设税,271550,487996,711522,926615
证券交易印花税,772727,1426241,2012275,3052586
其他印花税,98039,206959,308479,390484
土地增值税,241664,462352,744294,969604
房产税,86955,334088,417033,623008
车船税,20711,48330,74875,99259
车辆购置税,130816,299403,444472,582466
二、出口退税,-1332641,-2754012,-4622047,-6080672
